id,action_time,user,content_type,object_id,object_repr,action_flag,change_message
14,2021-03-18 23:11:09,1,13,1,textuk,2,"[{""changed"": {""fields"": [""Text""]}}]"
13,2021-03-18 23:00:39,1,14,1,TextResource object (1),1,"[{""added"": {}}]"
12,2021-03-18 23:00:25,1,13,1,textuk,1,"[{""added"": {}}]"
11,2021-03-18 22:46:41,1,7,1,Book object (1),2,"[{""changed"": {""fields"": [""Name"", ""Name [en]"", ""Name [ru]"", ""Name [uk]""]}}]"
10,2021-03-18 22:46:18,1,7,1,Book object (1),2,"[{""changed"": {""fields"": [""Name [en]"", ""Name [ru]"", ""Name [uk]""]}}]"
9,2021-03-18 22:46:11,1,7,1,Book object (1),2,"[{""changed"": {""fields"": [""Name"", ""Name [en]"", ""Name [ru]"", ""Name [uk]""]}}]"
8,2021-03-18 20:01:39,1,7,1,Book object (1),1,"[{""added"": {}}]"
7,2021-03-09 17:17:20,1,12,2,WasteUtilReview object (2),1,"[{""added"": {}}]"
6,2021-03-09 17:16:56,1,12,1,WasteUtilReview object (1),1,"[{""added"": {}}]"
5,2021-03-09 16:57:07,1,10,1,wdq,2,"[{""changed"": {""fields"": [""Category""]}}]"
4,2021-03-09 16:56:32,1,10,2,dwqd,2,"[{""changed"": {""fields"": [""Category""]}}]"
3,2021-03-09 16:52:41,1,11,1,WasteUtilCategory object (1),1,"[{""added"": {}}]"
2,2021-03-09 09:37:21,1,10,2,WasteUtil object (2),1,"[{""added"": {}}]"
1,2021-03-09 09:37:18,1,10,1,WasteUtil object (1),1,"[{""added"": {}}]"
